iter	Logloss
0	0.6881836188
1	0.6813878859
2	0.6765358734
3	0.6701037594
4	0.6652547493
5	0.6607612023
6	0.6548209054
7	0.6500322526
8	0.645295701
9	0.6393282209
10	0.6337163958
11	0.6274855359
12	0.6212696125
13	0.6155451181
14	0.6110173144
15	0.6070593421
16	0.6014053165
17	0.5970289283
18	0.5921783529
19	0.5868430408
20	0.5828342489
21	0.5778700986
22	0.5732611672
23	0.570065928
24	0.5651706658
25	0.5594042626
26	0.5545499695
27	0.5511536711
28	0.5469174236
29	0.5424928132
30	0.5393166158
31	0.533817008
32	0.530777577
33	0.5261817874
34	0.5217432794
35	0.5184266467
36	0.5143896022
37	0.5108596729
38	0.5072067756
39	0.5037922021
40	0.4992363958
41	0.4949826052
42	0.491643496
43	0.4878829964
44	0.4841630639
45	0.4812956169
46	0.4769888779
47	0.472738942
48	0.4690133218
49	0.4649328024
50	0.4618542474
51	0.4590336509
52	0.4557477112
53	0.4524799871
54	0.4496635159
55	0.4463723128
56	0.4435020898
57	0.4405358615
58	0.4381128104
59	0.4355175498
60	0.4318047643
61	0.4292544462
62	0.4255261753
63	0.4226577678
64	0.4201162379
65	0.4165838255
66	0.4130251828
67	0.410402465
68	0.4068094505
69	0.4037762954
70	0.4014007871
71	0.3980886181
72	0.3950003855
73	0.3920798371
74	0.3901424363
75	0.3876100897
76	0.3846622193
77	0.3824303991
78	0.3802674746
79	0.3781299897
80	0.3755307973
81	0.3734502262
82	0.3713720795
83	0.3699206157
84	0.3676462361
85	0.3650801274
86	0.3623965597
87	0.3600769613
88	0.358086103
89	0.3551245677
90	0.3527908448
91	0.3498063944
92	0.3470089081
93	0.3452802585
94	0.3425514547
95	0.3408013896
96	0.3386597493
97	0.3367215488
98	0.3350121791
99	0.3325576128
100	0.3310101053
101	0.3292162746
102	0.3272287593
103	0.3245890148
104	0.3227457557
105	0.3206998004
106	0.3189948051
107	0.3172822974
108	0.3154449076
109	0.3140959472
110	0.3121917875
111	0.3105416359
112	0.3090790319
113	0.3068507308
114	0.3049883867
115	0.3034903416
116	0.3016622725
117	0.2994087412
118	0.2972664987
119	0.2956876714
120	0.294172865
121	0.2926663582
122	0.2911424927
123	0.2895625935
124	0.2878293159
125	0.2864215224
126	0.2844701157
127	0.2823238443
128	0.2810477513
129	0.2796878259
130	0.2782851629
131	0.276588829
132	0.2754260876
133	0.273798546
134	0.2721272817
135	0.2709616362
136	0.2690343319
137	0.2679640293
138	0.2663188365
139	0.2649764129
140	0.263297614
141	0.2616671676
142	0.2604872916
143	0.2596459285
144	0.2578222119
145	0.2564532695
146	0.2550514375
147	0.253654992
148	0.2526311133
149	0.2513574287
