iter	Passed	Remaining
0	3	3146
1	6	3211
2	8	2948
3	11	2797
4	14	2947
5	17	2899
6	20	2912
7	23	2904
8	25	2845
9	28	2795
10	32	2899
11	34	2866
12	37	2867
13	40	2828
14	42	2804
15	46	2835
16	49	2841
17	51	2831
18	55	2846
19	57	2813
20	59	2794
21	63	2806
22	65	2791
23	68	2782
24	71	2777
25	73	2757
26	76	2740
27	79	2749
28	81	2725
29	84	2718
30	86	2714
31	89	2703
32	91	2688
33	94	2697
34	97	2682
35	99	2677
36	103	2681
37	105	2667
38	107	2653
39	110	2658
40	113	2649
41	116	2649
42	119	2655
43	121	2641
44	123	2628
45	127	2635
46	129	2626
47	132	2624
48	135	2628
49	138	2625
50	140	2622
51	144	2635
52	147	2640
53	150	2644
54	153	2631
55	155	2619
56	158	2619
57	161	2617
58	164	2615
59	167	2618
60	169	2608
61	171	2598
62	175	2604
63	177	2600
64	180	2596
65	183	2596
66	185	2587
67	188	2580
68	191	2581
69	194	2577
70	196	2572
71	199	2569
72	201	2562
73	204	2554
74	207	2556
75	209	2552
76	212	2549
77	215	2546
78	217	2538
79	220	2531
80	223	2534
81	225	2528
82	228	2525
83	231	2525
84	233	2517
85	236	2512
86	239	2517
87	242	2516
88	245	2513
89	247	2507
90	250	2500
91	252	2496
92	255	2494
93	258	2492
94	261	2489
95	263	2485
96	266	2478
97	269	2481
98	272	2478
99	274	2474
100	278	2474
101	280	2468
102	282	2462
103	285	2462
104	288	2456
105	291	2454
106	294	2453
107	296	2447
108	298	2440
109	301	2442
110	304	2435
111	306	2432
112	309	2431
113	312	2425
114	314	2419
115	317	2419
116	319	2414
117	322	2409
118	325	2406
119	327	2402
120	329	2397
121	332	2393
122	335	2392
123	338	2387
124	340	2386
125	343	2382
126	345	2377
127	348	2376
128	351	2372
129	354	2370
130	357	2371
131	359	2366
132	362	2360
133	365	2362
134	368	2360
135	371	2357
136	374	2356
137	377	2354
138	379	2349
139	382	2351
140	385	2345
141	387	2343
142	390	2342
143	393	2336
144	395	2331
145	399	2334
146	401	2330
147	404	2328
148	407	2327
149	409	2321
150	412	2318
151	415	2316
152	417	2313
153	420	2311
154	423	2308
155	425	2303
156	429	2304
157	431	2298
158	434	2296
159	437	2296
160	439	2291
161	442	2286
162	445	2286
163	447	2282
164	450	2278
165	452	2273
166	454	2269
167	457	2264
168	459	2260
169	462	2257
170	464	2252
171	467	2248
172	469	2244
173	471	2239
174	474	2236
175	477	2233
176	479	2230
177	482	2227
178	485	2225
179	487	2221
180	489	2216
181	493	2217
182	496	2214
183	498	2211
184	501	2209
185	504	2206
186	506	2202
187	510	2203
188	513	2201
189	515	2198
190	518	2196
191	521	2193
192	524	2191
193	527	2190
194	530	2187
195	533	2187
196	535	2183
197	537	2178
198	541	2178
199	543	2175
200	546	2173
201	550	2173
202	552	2169
203	555	2165
204	558	2164
205	560	2160
206	562	2156
207	566	2156
208	568	2151
209	571	2148
210	574	2147
211	577	2145
212	579	2142
213	583	2141
214	585	2137
215	588	2137
216	591	2134
217	594	2132
218	597	2130
219	599	2126
220	602	2122
221	605	2121
222	607	2118
223	610	2115
224	613	2113
225	615	2108
226	618	2104
227	621	2104
228	623	2100
229	626	2098
230	630	2099
231	632	2095
232	636	2094
233	638	2089
234	641	2086
235	643	2083
236	646	2080
237	648	2076
238	651	2072
239	654	2071
240	656	2068
241	659	2065
242	662	2063
243	664	2058
244	667	2056
245	670	2054
246	672	2051
247	675	2048
248	678	2045
249	680	2041
250	683	2040
251	686	2037
252	688	2034
253	691	2031
254	694	2028
255	696	2025
256	699	2023
257	702	2019
258	704	2016
259	707	2013
260	710	2011
261	712	2007
262	715	2006
263	718	2002
264	720	1998
265	722	1994
266	725	1991
267	727	1987
268	730	1984
269	732	1981
270	735	1977
271	737	1973
272	739	1969
273	741	1965
274	744	1962
275	746	1959
276	749	1955
277	751	1952
278	754	1950
279	757	1947
280	759	1943
281	761	1940
282	765	1938
283	767	1935
284	769	1931
285	772	1927
286	774	1924
287	776	1920
288	779	1916
289	781	1913
290	783	1909
291	786	1906
292	788	1902
293	790	1898
294	792	1894
295	795	1891
296	797	1887
297	799	1884
298	802	1880
299	804	1877
300	806	1873
301	809	1870
302	811	1867
303	813	1863
304	816	1859
305	818	1856
306	820	1852
307	822	1849
